ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,Partido,Votos,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,votos_coalicion
23,QUINTANA ROO,3,CANCUN,PRI,745,27532,38,1335,28905,80938,745
23,QUINTANA ROO,3,CANCUN,PRD,559,27532,38,1335,28905,80938,559
23,QUINTANA ROO,3,CANCUN,PVEM,6691,27532,38,1335,28905,80938,6691
23,QUINTANA ROO,3,CANCUN,PT,1115,27532,38,1335,28905,80938,1115
23,QUINTANA ROO,3,CANCUN,MC,3114,27532,38,1335,28905,80938,3114
23,QUINTANA ROO,3,CANCUN,MORENA,10535,27532,38,1335,28905,80938,10535
23,QUINTANA ROO,3,CANCUN,MAS,1698,27532,38,1335,28905,80938,1698
23,QUINTANA ROO,3,CANCUN,CXQROO,292,27532,38,1335,28905,80938,292
23,QUINTANA ROO,3,CANCUN,FXMQROO,479,27532,38,1335,28905,80938,479
23,QUINTANA ROO,3,CANCUN,CAND_IND1,NA,27532,38,1335,28905,80938,0
23,QUINTANA ROO,3,CANCUN,PAN_PRD_CXQROO,31,27532,38,1335,28905,80938,2722
23,QUINTANA ROO,3,CANCUN,PAN_PRD,39,27532,38,1335,28905,80938,2438
23,QUINTANA ROO,3,CANCUN,PAN_CXQROO,8,27532,38,1335,28905,80938,2140
23,QUINTANA ROO,3,CANCUN,PRD_CXQROO,0,27532,38,1335,28905,80938,851
23,QUINTANA ROO,3,CANCUN,PVEM_PT_MORENA_FXMQROO,42,27532,38,1335,28905,80938,18862
23,QUINTANA ROO,3,CANCUN,PVEM_PT_MORENA,61,27532,38,1335,28905,80938,18402
23,QUINTANA ROO,3,CANCUN,PVEM_PT_FXMQROO,5,27532,38,1335,28905,80938,8290
23,QUINTANA ROO,3,CANCUN,PVEM_MORENA_FXMQROO,16,27532,38,1335,28905,80938,17721
23,QUINTANA ROO,3,CANCUN,PT_MORENA_FXMQROO,8,27532,38,1335,28905,80938,12137
23,QUINTANA ROO,3,CANCUN,PVEM_PT,22,27532,38,1335,28905,80938,7828
23,QUINTANA ROO,3,CANCUN,PVEM_MORENA,122,27532,38,1335,28905,80938,17348
23,QUINTANA ROO,3,CANCUN,PVEM_FXMQROO,10,27532,38,1335,28905,80938,7180
23,QUINTANA ROO,3,CANCUN,PT_MORENA,82,27532,38,1335,28905,80938,11732
23,QUINTANA ROO,3,CANCUN,PT_FXMQROO,1,27532,38,1335,28905,80938,1595
23,QUINTANA ROO,3,CANCUN,MORENA_FXMQROO,17,27532,38,1335,28905,80938,11031
23,QUINTANA ROO,4,CANCUN,PAN,1790,24716,41,1342,26099,64949,1790
23,QUINTANA ROO,4,CANCUN,PRI,731,24716,41,1342,26099,64949,731
23,QUINTANA ROO,4,CANCUN,PRD,417,24716,41,1342,26099,64949,417
23,QUINTANA ROO,4,CANCUN,PVEM,8435,24716,41,1342,26099,64949,8435
23,QUINTANA ROO,4,CANCUN,PT,672,24716,41,1342,26099,64949,672
23,QUINTANA ROO,4,CANCUN,MC,2383,24716,41,1342,26099,64949,2383
23,QUINTANA ROO,4,CANCUN,MORENA,7954,24716,41,1342,26099,64949,7954
23,QUINTANA ROO,4,CANCUN,MAS,952,24716,41,1342,26099,64949,952
23,QUINTANA ROO,4,CANCUN,CXQROO,512,24716,41,1342,26099,64949,512
23,QUINTANA ROO,4,CANCUN,FXMQROO,365,24716,41,1342,26099,64949,365
23,QUINTANA ROO,4,CANCUN,CAND_IND1,NA,24716,41,1342,26099,64949,0
23,QUINTANA ROO,4,CANCUN,PAN_PRD_CXQROO,49,24716,41,1342,26099,64949,2768
23,QUINTANA ROO,4,CANCUN,PAN_PRD,50,24716,41,1342,26099,64949,2257
23,QUINTANA ROO,4,CANCUN,PAN_CXQROO,22,24716,41,1342,26099,64949,2324
23,QUINTANA ROO,4,CANCUN,PRD_CXQROO,12,24716,41,1342,26099,64949,941
23,QUINTANA ROO,4,CANCUN,PVEM_PT_MORENA_FXMQROO,40,24716,41,1342,26099,64949,17466
23,QUINTANA ROO,4,CANCUN,PVEM_PT_MORENA,58,24716,41,1342,26099,64949,17119
23,QUINTANA ROO,4,CANCUN,PVEM_PT_FXMQROO,7,24716,41,1342,26099,64949,9479
23,QUINTANA ROO,4,CANCUN,PVEM_MORENA_FXMQROO,9,24716,41,1342,26099,64949,16763
23,QUINTANA ROO,4,CANCUN,PT_MORENA_FXMQROO,5,24716,41,1342,26099,64949,8996
23,QUINTANA ROO,4,CANCUN,PVEM_PT,27,24716,41,1342,26099,64949,9134
23,QUINTANA ROO,4,CANCUN,PVEM_MORENA,162,24716,41,1342,26099,64949,16551
23,QUINTANA ROO,4,CANCUN,PVEM_FXMQROO,6,24716,41,1342,26099,64949,8806
23,QUINTANA ROO,4,CANCUN,PT_MORENA,47,24716,41,1342,26099,64949,8673
23,QUINTANA ROO,4,CANCUN,PT_FXMQROO,1,24716,41,1342,26099,64949,1038
